order_date,supplier_id,status,quantity
2025-06-01,1,pending,10
2025-06-07,7,delivered,25
2025-06-02,2,delivered,20
2025-06-03,3,shipped,15
2025-06-10,10,delivered,30
2025-06-04,4,pending,12
2025-06-06,6,cancelled,5
2025-06-09,9,pending,9
2025-06-05,5,delivered,18
2025-06-11,11,shipped,14
2025-06-08,8,shipped,17
2025-06-13,13,pending,16
2025-06-15,15,pending,13
2025-06-14,14,delivered,21
2025-06-17,17,shipped,11
2025-06-12,12,cancelled,7
2025-06-18,18,pending,22
2025-06-16,16,delivered,19
2025-06-20,20,pending,10
2025-06-21,21,delivered,18
2025-06-22,22,cancelled,6
2025-06-23,23,shipped,17
2025-06-24,24,pending,12
2025-06-25,25,delivered,25
2025-06-26,26,pending,14
2025-06-27,27,shipped,16
2025-06-28,28,cancelled,8
2025-06-29,29,delivered,23
2025-06-30,30,pending,9
2025-07-01,1,pending,13
2025-07-02,2,shipped,21
2025-07-03,3,delivered,19
2025-07-04,4,cancelled,7
2025-07-05,5,pending,14
2025-07-06,6,shipped,15
2025-07-07,7,delivered,22
2025-07-08,8,cancelled,9
2025-07-09,9,pending,11
2025-07-10,10,shipped,20
